Insertion Sort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mean,Standard Deviation,Size: 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9021650514,8806927182,8512624054,8617559949,9070485751,9358183094,9251986455,9212003235,9275786540,7956533214,8966120004,8962027778,8725434558,8951483819,8446810117,8548049112,8632137232,8413582205,8431112174,8635770318,8620964977,8876135198,9180181436,9081591173,8902963107,8824875889,9245843585,8750737416,9204599998,8899418373,8709462113,7924070659,8318926340,10031964148,9618844103,8919904805,8241777412,9071266967,9160694840,8667132602,8661521743,9073119003,8721652327,8512738839,9217497043,8346134096,9403260641,8646099057,8871430912,8233796097,8722312716,8744551124,9048260936,8773819341,8495760895,8805505212,8808134688,8748567456,8990476644,8521675812,8291314194,8469783298,9689610397,9296954127,8902652358,8778709774,9209253688,8456734087,8409773541,8460365665,8366973564,8280200088,8338315519,9057705755,8024572238,8431993448,9104907576,9078415714,8469611122,8922764228,8453868245,8812226159,8369916056,8463377254,8821752536,8901259838,9302429434,8070727781,8091782093,8917141287,9149449335,8790814654,8419607647,8992091181,9016424788,8382870116,8234825006,8821685704,9907858072,8204726865
,,,6.29E+11,6.30E+11,6.27E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.28E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selection Sort,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Size: 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15480,1133,755,378,755,378,377,378,755,378,378,377,377,378,378,378,378,755,377,377,378,378,377,378,377,378,755,378,378,377,378,378,378,378,377,377,377,377,378,377,378,377,377,377,377,378,377,378,378,377,378,378,377,378,377,378,378,378,378,378,378,377,378,378,377,755,377,377,378,378,377,378,378,377,378,378,377,377,755,377,377,377,378,378,377,378,377,755,378,378,377,378,378,378,377,378,755,378,378,378
,,,1888,756,755,377,755,377,755,755,378,377,378,377,378,378,755,755,377,377,755,378,756,755,755,756,756,378,756,378,756,755,756,755,755,377,378,755,378,755,755,755,755,755,755,755,755,378,756,755,755,377,755,755,377,378,755,755,755,755,755,755,755,378,755,377,378,755,755,378,377,755,755,755,378,755,755,755,377,756,755,755,755,756,756,378,378,755,755,755,755,755,755,1133,755,755,756,378,755,755,755,377
,,,1510,1133,1132,1133,755,755,1132,1133,1133,1133,755,1133,755,1132,1132,755,755,755,1132,755,1133,755,755,1132,756,1133,1133,755,1133,1133,1132,1133,755,1133,755,756,1132,755,1133,1133,756,1133,1132,1133,1132,755,1133,755,1133,1133,1133,1133,1133,1132,1133,1133,756,1132,755,1133,1510,1133,1133,1133,1133,1132,1133,1133,1133,1132,1133,755,1132,1133,1888,1133,1133,755,756,1510,755,1133,1133,755,755,1132,1133,1133,1133,1133,1133,755,1511,1132,1133,1133,1133,1132,755,1132
,,,1133,756,756,755,755,755,755,377,378,378,755,377,377,378,755,756,755,755,378,755,377,755,755,378,756,755,755,755,755,755,755,755,755,755,756,378,756,378,755,755,756,755,755,755,1133,377,755,378,378,755,378,755,756,377,377,755,755,755,755,755,755,755,755,378,755,378,377,377,378,378,377,755,755,756,755,756,377,755,755,755,755,755,755,756,755,378,378,755,755,377,377,755,755,756,755,756,1133,755,377,755
,,,Size: 1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2419541,2034785,2154857,2059329,2029500,1952850,1865629,1727057,1457464,1735364,1879600,1449535,1226762,1176921,1182585,1140674,1103293,1096118,1131233,1135010,1135010,1178054,1125947,1080260,1058738,1417818,1909429,1881110,1819565,1805971,1780673,1738762,1764437,1703269,1751600,1520898,1805971,1188626,1091965,1068555,1067800,1068932,1052320,1037593,1037216,1073464,1037594,1037594,1099139,1038348,1037594,1037971,1151623,1037971,1037593,1037216,1166349,1037971,1037594,1037593,1037216,1037971,1037971,1037971,1098762,1038349,1037593,1639080,1503907,1044012,1038349,1037216,1037594,1037971,1037593,1037594,1037594,1037593,1037594,1037216,1037971,1037594,1040236,1037971,1431788,1558656,1556390,1562809,1556013,1552992,1764815,1551860,1761040,1665133,1681369,1726679,1802196,1680992,1687411,3377843
,,,2387824,2340627,2324768,2830727,1681370,2158633,1994762,1976261,1978904,1992874,1972107,1974750,1883375,2008733,1775010,1530715,1280001,1269429,1238467,1237711,1238089,1537134,1357405,1243753,1237712,1237711,1233936,1199576,1199199,1176921,1162951,1210149,1211659,1866007,1351364,1129346,1128590,1128968,1128969,1129346,1128590,1171635,1128591,1129346,1128968,1129346,1128590,1116885,1375529,1766703,1750090,1737630,1739139,1744426,1703647,1724037,1694585,1639458,1645122,1634927,1631529,1626243,1635304,1642101,1636815,1640591,1638325,1633417,1630396,1634927,1636060,1614538,1653429,1674196,1640213,1651163,1642478,1634550,1654561,1672307,1636060,1654184,1639458,1736874,1659093,1685146,1680993,1682503,1704402,1673441,1650030,1616425,1597546,1619446,1605854,1614538,1611894,1613027,1651540,1733854
,,,2120119,2206208,1418573,1314738,1616426,1786337,2004580,2064993,2128803,2077075,1913582,2047624,1781051,1765948,1845240,1462750,2179777,4391271,1890172,1796532,1870538,2140131,2390090,2917949,2270774,2104261,2052533,2011376,1740272,2009488,2022703,1526939,1242997,1238845,1238844,1193912,1208637,1199198,1196933,1252437,1202596,1205240,1693074,1710066,1623977,1668532,1732343,1648520,1628509,1588485,1544686,1755754,2055931,1856945,1855812,1852792,1787848,1433676,1250172,1164461,1806726,1494845,1544308,1542042,1535623,1551482,1611139,1586219,1591505,1501264,1466148,1331729,1298502,1250549,1261877,1244508,1241110,1245264,1244131,1241487,1413287,1956626,1962667,1887529,1907919,1896592,1875824,1869405,1901122,1536378,1398184,1250171,1404225,1359670,1189003,1376662,1566585,1683257,1522408,1267163
,,,2868486,3168285,2026101,1864874,1864875,1853924,1749335,1364579,1284154,1785205,1714220,1666267,1534490,1363824,1399317,1616426,1632284,1628130,1557900,1684013,1785583,2839411,2190349,1694207,1685901,1685523,1669665,1681369,1938880,4549477,1849016,2093311,1900367,10916254,1921512,1882620,1843352,1827493,1724414,2231128,1743293,1689676,1664756,1687411,1706290,1681370,1682880,1676461,2408214,1815411,2071033,2176001,1830515,1512969,1576402,1581311,1533735,1722904,1375906,1350986,1369488,1691942,1885264,1471057,1626243,1746691,1964933,2013263,1916225,1519765,1344190,1331352,1350986,1332863,1771234,1407245,1401582,1429901,1454443,1415552,1413665,1397806,1418196,1383458,1359670,2343270,1842220,2131069,2305890,1523918,2124651,1736496,1899612,1378549,1514857,1873936,1911316,1339281,1341169,1362691
,,,Size: 10K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,144417687,147294101,164945651,211984356,153995037,143270594,146060165,143581344,146026938,159077659,170855176,171020557,173084039,152596098,214391060,159805258,142157485,143459763,173609255,141488033,149103849,170877454,154915581,156471593,153969739,144914961,223312174,179045671,144350099,135603050,198246814,241287688,170014303,175540205,150409903,132535580,140228044,212571872,160466781,139410958,208016354,164952448,174101998,141388352,129382775,126965122,162873107,132068134,133595073,118097247,129071271,258928289,189983069,182913614,174274553,146930490,161149448,180970203,155606554,177456809,154826848,144660094,144836801,130647295,151236050,144014430,123188554,150121430,129573454,123808164,141214287,147571624,173259237,308579479,323268148,363286861,361446152,294042219,294617276,291855647,293162833,317753950,305947359,311173463,282477658,321917539,315859624,309259502,321267344,345346461,366554450,309625379,256987520,290207504,335485170,303073965,306682132,216128311,316697100,337295294
,,,326181188,299863013,326754733,287972222,326133613,235915838,286229306,291555092,285282710,317996357,315073878,263423394,382070777,358510079,305229200,321538448,255969561,308299691,312046431,313532213,278655402,324954049,265682085,297071554,373927102,256372063,283722544,314885087,356146420,356319730,376365901,371430913,315326479,352947551,391855797,353908873,348116775,359759496,269371433,326377908,325031452,306458981,328635466,291017038,314673264,318662033,342916348,366094178,344259027,263926332,341354671,257537657,289146122,326055076,293860603,318263307,252403683,274885631,323758626,320311308,270869298,314933418,324539842,343415887,354974785,326475702,290479740,339995378,375907517,318904440,348366734,374038111,322386495,338646280,330454653,318051484,345978533,333715823,322967971,349901225,342099262,328954145,335021122,341805503,336242975,292355186,304332821,307184315,284385199,310313332,313072319,348437342,325831170,309876848,331480542,330205450,299015343,327649224,324458284,332904401
,,,325743193,299868677,330522618,230560225,348963690,284701235,331759574,319729456,284857931,301400525,273205772,329180316,300081633,312453085,285579866,299590022,335394172,317026351,318477773,346109553,360928865,209883871,329583951,212775011,299438989,303511205,313808980,347443925,219881469,270100165,280878224,317417525,335248804,303763807,318260664,327812717,331952518,301955947,306229412,297643968,281805564,277306304,316200203,327904847,288438912,320679827,326903501,298474270,305567512,315073500,325509092,337091778,243724976,250303198,319311473,309817568,304769306,315346869,312562207,304063228,328754783,313109699,324547016,304575984,305458014,279761338,357989394,296031318,338054233,295679412,337535436,312922797,341433208,313551470,328886935,297527673,315583235,305755548,310095845,322831287,320896181,306734616,298090647,333340130,309742051,310071303,314455777,312818962,358739648,349001826,326157022,327924481,310620683,245333850,319797798,318197230,308725225,327100221,342721138,316999543
,,,315377076,349791726,273971884,281054176,347413719,273819341,287373378,313948308,326277094,281831617,294527034,348457731,378259849,300124300,357357701,323258331,323802047,340851733,314739718,330197143,243294156,291117097,299175060,282220148,321712513,314359493,313784437,265016409,308234747,309575916,334798349,341358825,293625747,309466417,294968804,321570920,312104578,328508977,290766702,321694766,327274663,332179067,327140622,312295634,343580513,346023087,300603073,319677350,314600390,333050525,338344215,342739262,305178603,348507572,343468749,370934016,321980973,360830316,353302478,305915265,328651325,310450394,338215460,327282593,342758519,318733773,347219265,328109118,326914829,351508211,332072966,253790162,303184219,336793866,353646076,323580785,331994053,366124007,330996860,343222944,343606189,332870041,337688356,291964012,334719812,340313679,372261591,340642931,351112883,324736562,310455303,364200607,341569515,330550559,382616382,375936968,349854405,338848287,354053486,314346656
,,,Size: 100K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14548836747,14644228141,14212987967,14104130135,14255975980,14081637237,14459664873,13644944790,14978780684,14262610461,14378458833,14110266209,14198108997,14100863679,14729510549,13831597969,14361605491,11358476475,10811767020,10754217961,10814538845,10834622396,10870050852,10795918421,10767292848,11185639751,11052355050,10760090861,10743117069,10715672948,10732546303,10742494060,10744087076,10728127846,10756295792,10727594324,10735996641,10739360135,10717313539,10781235416,10718279770,10783225270,10723705613,10752148061,10733266350,10705246795,10722415796,10739734696,10733303731,11198848301,10771252920,10728712342,10742001317,10725313732,10727605651,10770439233,10739473033,10714423909,10748002972,10734746092,10724640883,10732919731,10733887472,10728977782,10736299839,10702034333,10759621906,10770361074,10720552809,10736411226,10741471193,10710309783,10828051348,10764265400,10729387835,10760324206,10728071209,10715372016,10752252273,10743698167,10749679434,10761000077,10705827893,10922898269,10747318417,10761318756,10737591544,10734433832,10725205367,10722067288,10754774139,10738022742,10724417731,10739691652,10768406335,10738805846,10732269536,10749939965,10720741600,10787505532
,,,11018315715,10761549458,10722195288,10830583031,10733292781,10720151063,10768060470,10733309395,10729161286,10746316694,10756851969,10738207757,10759658909,10736764264,10763553660,10763539311,10705893591,10749009982,10751235446,10744588127,10741007146,10695987745,10765188587,10741929954,10704126888,10749477427,10691462433,10724316163,10738123556,10713098599,10767187880,10728204872,10733606929,10711789901,10713365548,10723842297,10739451132,10715982565,10751447269,10736973067,10724390169,10739570071,10720347405,10734075130,10755806445,10710294302,10699334248,10760676490,10713386316,10752780509,10733613725,10705320423,10725238971,10717132300,10745037071,10716404701,10728543563,10861170518,10724748871,10791559245,11272736816,10738561551,10743679666,10743814840,11185739055,10879523235,10714269100,10749477050,10722758262,10758402695,10736921338,10760902661,10767607373,10718840101,10748732837,10727242795,10739136230,10719139522,10740069989,10708546478,10746506239,10720462945,10715592901,10711383247,12609780640,10759071014,10768502619,10739981257,10737249078,10713523000,10713885478,10720206945,10699212290,10703931301,10741825364,10755138882,10745626476,10696431404,10712842976,10735651909
,,,10976127420,10722258721,10729613628,10776887567,10721094638,11034152232,10723307265,10715882128,10711545606,10735121407,10827290521,10977136317,11069070198,10831088990,10709770596,10827555962,10785309896,10776547366,10723751679,10750827281,10679796303,10720610579,11025492026,10709514597,10833164554,10783206768,10720542992,10710453263,10704678157,10693458328,10713797501,10714155449,10727837108,10768628731,10701911997,10689950597,10696013798,10715962930,10717405669,10725159679,10671411732,10720956822,10715711462,10716797763,10734000369,10667177156,10699456208,10696164831,10966580654,10708850054,10716477952,10687090419,10742562780,10704614724,10760229056,10724852328,10717123993,10708684672,10693385455,10700377506,10701188172,10723237790,10705850169,10740418496,10726303751,10715630659,10724590664,10733932781,10710651494,10711220886,10694407567,10727885438,10696275839,10740924455,10680482367,10716679580,10677803050,10734844262,10728630030,10700058827,10667428626,10738294979,10691892498,10739367309,10680647370,10742788574,10694462317,10715711462,10716499851,10723491525,10713729159,10705698005,10707721086,10727138960,10722478474,10700858167,10705981946,10674543391,10725797414,10709432283
